condado,numero_sectores,poblacion_total
McDonough,10,32612
McDowell,18,67109
McDuffie,5,21875
McHenry,54,314155
McIntosh,11,37394
McKean,12,43450
McKenzie,4,6360
McKinley,17,71492
McLean,46,188065
McLennan,51,234906
McLeod,7,36651
McMinn,10,52266
McMullen,1,707
McNairy,7,26075
McPherson,9,32178
Meade,15,58611
Meagher,1,1891
Mecklenburg,242,952355
Mecosta,11,42798
Medina,45,218338
Meeker,6,23300
Meigs,9,35523
Mellette,1,2048
Menard,4,14947
Mendocino,20,87841
Menifee,2,6306
Menominee,9,28261
Merced,49,255793
Mercer,146,636203
Meriwether,4,21992
Merrick,3,7845
Merrimack,36,146445
Mesa,29,146723
Metcalfe,3,10099
Miami,39,172196
Miami-Dade,519,2496435
Middlesex,533,2489578
Midland,46,220501
Mifflin,12,46682
Milam,7,24757
Millard,3,12503
Mille Lacs,7,26097
Miller,20,74335
Mills,7,19995
Milwaukee,297,947735
Miner,1,2389
Mineral,12,37919
Mingo,7,26839
Minidoka,5,20069
Minnehaha,42,169468
Missaukee,4,14849
Mississippi,16,60838
Missoula,20,109299
Mitchell,16,65629
Mobile,114,412992
Modoc,4,9686
Moffat,4,13795
Mohave,43,200186
Moniteau,4,15607
Monmouth,144,630380
Mono,3,14202
Monona,4,9243
Monongalia,24,96189
Monroe,388,1549967
Montague,6,19719
Montcalm,13,63342
Monterey,93,415057
Montezuma,7,25535
Montgomery,833,3519362
Montmorency,5,9765
Montour,4,18267
Montrose,10,41276
Moody,2,6486
Moore,24,116513
Mora,1,4881
Morehouse,8,27979
Morgan,88,368497
Morrill,1,5042
Morris,105,511133
Morrison,8,33198
Morrow,8,46000
Morton,6,30704
Motley,1,1210
Moultrie,4,14846
Mountrail,3,7673
Mower,11,39163
Muhlenberg,9,31499
Multnomah,171,735334
Murray,14,61841
Muscatine,10,42745
Muscogee,53,189885
Muskegon,42,172188
Muskingum,19,86074
Muskogee,16,70990
Musselshell,2,4538
Nacogdoches,13,64524
Nance,1,3735
Nantucket,6,10172
Napa,40,136484
Nash,18,95840
Nassau,292,1412846
Natchitoches,9,39566
Natrona,18,75450
Navajo,31,107449
Navarro,10,47735
Nelson,13,61583
Nemaha,5,17426
Neosho,5,16512
Neshoba,7,29676
Ness,2,3107
Nevada,23,107761
New Castle,131,538479
New Hanover,45,202667
New Haven,190,862477
New Kent,3,18429
New London,66,274055
New Madrid,6,18956
New York,288,1585873
Newaygo,11,48460
Newberry,8,37508
Newport,22,82888
Newport News,44,180719
Newton,40,216811
Nez Perce,10,39265
Niagara,61,216469
Nicholas,9,33368
Nicollet,7,32727
Niobrara,1,2484
Noble,17,73742
Nobles,6,21378
Nodaway,5,23370
Nolan,5,15216
Nome,2,9492
Norfolk,211,913653
Norman,3,6852
North Slope,3,9430
Northampton,77,332223
Northumberland,27,106858
Northwest Arctic,2,7523
Norton,2,9629
Nottoway,4,15853
Nowata,4,10536
Noxubee,3,11545
Nuckolls,2,4500
Nueces,81,340223
Nye,10,43946
O'Brien,4,14398
Oakland,338,1202362
Obion,10,31807
Ocean,126,576567
Oceana,7,26570
Ochiltree,3,10223
Oconee,21,107081
Oconto,10,37660
Ogemaw,7,21699
Ogle,11,53497
Oglethorpe,4,14899
Ohio,27,74413
Okaloosa,41,180822
Okanogan,10,41120
Okeechobee,12,39996
Okfuskee,4,12191
Oklahoma,241,718633
Okmulgee,10,40069
Oktibbeha,8,47671
Oldham,15,62368
Oliver,1,1846
Olmsted,33,144248
Oneida,89,275162
Onondaga,140,467026
Onslow,32,177772
Ontario,25,107931
Ontonagon,4,6780
Orange,939,4826896
Orangeburg,20,92501
Oregon,3,10881
Orleans,198,413943
Osage,20,77645
Osborne,1,3858
Osceola,49,298675
Oscoda,5,8640
Oswego,29,122109
Otero,23,82628
Otoe,5,15740
Otsego,23,86423
Ottawa,77,343168
Otter Tail,17,57303
Ouachita,46,179840
Ouray,1,4436
Outagamie,40,176695
